Symbol,Market,Industry,Sector,Sector Abbr
2S,mai,Industrial,-,-
7UP,SET,Resources,Energy & Utilities,ENERG
A,SET,Property & Construction,Property Development,PROP
A5,mai,Services,-,-
AAV,SET,Services,Transportation & Logistics,TRANS
ABICO,mai,Agro & Food Industry,-,-
ABM,mai,Resources,-,-
ABPIF,SET,Resources,Energy & Utilities,ENERG
ACAP,mai,Financials,-,-
ACC,SET,Consumer Products,Home & Office Products,HOME
ACE,SET,Resources,Energy & Utilities,ENERG
ACG,mai,Industrial,-,-
ADB,mai,Industrial,-,-
ADVANC,SET,Technology,Information & Communication Technology,ICT
AEC,SET,Financials,Finance & Securities,FIN
AEONTS,SET,Financials,Finance & Securities,FIN
AF,mai,Financials,-,-
AFC,SET,Consumer Products,Fashion,FASHION
AGE,mai,Resources,-,-
AH,SET,Industrials,Automotive,AUTO
AHC,SET,Services,Health Care Services,HELTH
AI,SET,Resources,Energy & Utilities,ENERG
AIE,mai,Resources,-,-
AIMCG,SET,Property & Construction,Property Fund & REITs,PROP
AIMIRT,SET,Property & Construction,Property Fund & REITs,PROP
AIRA,mai,Financials,-,-
AIT,SET,Technology,Information & Communication Technology,ICT
AJ,SET,Industrials,Packaging,PKG
AJA,SET,Consumer Products,Home & Office Products,HOME
AKP,mai,Services,-,-
AKR,SET,Resources,Energy & Utilities,ENERG
ALL,mai,Property & Construction,-,-
ALLA,SET,Industrials,Industrial Materials & Machinery,IMM
ALT,SET,Technology,Information & Communication Technology,ICT
ALUCON,SET,Industrials,Packaging,PKG
AMA,mai,Services,-,-
AMANAH,SET,Financials,Finance & Securities,FIN
AMARIN,SET,Services,Media & Publishing,MEDIA
AMATA,SET,Property & Construction,Property Development,PROP
AMATAR,SET,Property & Construction,Property Fund & REITs,PROP
AMATAV,SET,Property & Construction,Property Development,PROP
AMC,SET,Industrials,Steel,STEEL
ANAN,SET,Property & Construction,Property Development,PROP
AOT,SET,Services,Transportation & Logistics,TRANS
AP,SET,Property & Construction,Property Development,PROP
APCO,SET,Consumer Products,Personal Products & Pharmaceuticals,PERSON
APCS,SET,Industrials,Automotive,AUTO
APEX,SET,Property & Construction,Property Development,PROP
APP,mai,Technology,-,-
APURE,SET,Agro & Food Industry,Food & Beverage,FOOD
AQ,SET,Property & Construction,Property Development,PROP
AQUA,SET,Services,Media & Publishing,MEDIA
ARIN,mai,Property & Construction,-,-
ARIP,mai,Services,-,-
ARROW,mai,Property & Construction,-,-
AS,SET,Services,Media & Publishing,MEDIA
ASAP,SET,Financials,Finance & Securities,FIN
ASEFA,SET,Industrials,Industrial Materials & Machinery,IMM
ASIA,SET,Services,Tourism & Leisure,TOURISM
ASIAN,SET,Agro & Food Industry,Food & Beverage,FOOD
ASIMAR,SET,Services,Transportation & Logistics,TRANS
ASK,SET,Financials,Finance & Securities,FIN
ASN,mai,Financials,-,-
ASP,SET,Financials,Finance & Securities,FIN
ATP30,mai,Services,-,-
AU,mai,Agro & Food Industry,-,-
AUCT,mai,Services,-,-
AWC,SET,Property & Construction,Property Development,PROP
AYUD,SET,Financials,Insurance,INSUR
B,SET,Services,Transportation & Logistics,TRANS
B52,SET,Consumer Products,Fashion,FASHION
BA,SET,Services,Transportation & Logistics,TRANS
BAFS,SET,Resources,Energy & Utilities,ENERG
BAM,SET,Financials,Finance & Securities,FIN
BANPU,SET,Resources,Energy & Utilities,ENERG
BAT-3K,SET,Industrials,Automotive,AUTO
BAY,SET,Financials,Banking,BANK
BBL,SET,Financials,Banking,BANK
BC,mai,Property & Construction,-,-
BCH,SET,Services,Health Care Services,HELTH
BCP,SET,Resources,Energy & Utilities,ENERG
BCPG,SET,Resources,Energy & Utilities,ENERG
BCT,SET,Industrials,Petrochemicals & Chemicals,PETRO
BDMS,SET,Services,Health Care Services,HELTH
BEAUTY,SET,Services,Commerce,COMM
BEC,SET,Services,Media & Publishing,MEDIA
BEM,SET,Services,Transportation & Logistics,TRANS
BFIT,SET,Financials,Finance & Securities,FIN
BGC,SET,Industrials,Packaging,PKG
BGRIM,SET,Resources,Energy & Utilities,ENERG
BGT,mai,Consumer Products,-,-
BH,SET,Services,Health Care Services,HELTH
BIG,SET,Services,Commerce,COMM
BIZ,mai,Consumer Products,-,-
BJC,SET,Services,Commerce,COMM
BJCHI,SET,Property & Construction,Construction Services,CONS
BKD,SET,Property & Construction,Construction Services,CONS
BKER,SET,Property & Construction,Property Fund & REITs,PROP
BKI,SET,Financials,Insurance,INSUR
BKKCP,SET,Property & Construction,Property Fund & REITs,PROP
BLA,SET,Financials,Insurance,INSUR
BLAND,SET,Property & Construction,Property Development,PROP
BLISS,SET,Technology,Information & Communication Technology,ICT
BM,mai,Industrial,-,-
BOFFICE,SET,Property & Construction,Property Fund & REITs,PROP
BOL,mai,Services,-,-
BPP,SET,Resources,Energy & Utilities,ENERG
BR,SET,Agro & Food Industry,Food & Beverage,FOOD
BROCK,SET,Property & Construction,Property Development,PROP
BROOK,mai,Financials,-,-
BRR,SET,Agro & Food Industry,Food & Beverage,FOOD
BRRGIF,SET,Resources,Energy & Utilities,ENERG
BSBM,SET,Industrials,Steel,STEEL
BSM,mai,Property & Construction,-,-
BTNC,SET,Consumer Products,Fashion,FASHION
BTS,SET,Services,Transportation & Logistics,TRANS
BTSGIF,SET,Services,Transportation & Logistics,TRANS
BTW,mai,Property & Construction,-,-
