,cluster_id,box_id,symbol,issuer,asof,ttm,rating,sector_abbr
130,1,81,IVL28OA,IVL,2019-01-09,9.783561644,AA-,PETRO
401,2,36,KTC288A,KTC,2019-01-09,9.605479452,A+,FIN
552,2,27,LALIN213B,LALIN,2019-01-09,2.205479452,BBB+,PROP
761,2,41,MJD203A,MJD,2019-01-09,1.2109589040000002,BB+,PROP
907,2,79,ORI19NA,ORI,2019-01-09,0.81369863,BBB-,PROP
1128,1,24,SCC214A,SCC,2019-01-09,2.224657534,A+,CONMAT
1271,1,45,THAI19DA,THAI,2019-01-09,0.95890411,A,TRANS
1414,1,45,THAI212A,THAI,2019-01-09,2.079452055,A,TRANS
1557,1,50,THAI22OA,THAI,2019-01-09,3.753424658,A,TRANS
1700,1,35,THAI24DA,THAI,2019-01-09,5.964383562,A,TRANS
1920,4,62,TTCL211A,TTCL,2019-01-09,2.016438356,BBB-,CONS
2060,2,27,UV236A,UV,2019-01-09,4.449315069,BBB+,PROP
3020,1,44,A194A,A,2019-01-09,0.221917808,BB,PROP
3251,1,80,IVL24DA,IVL,2019-01-09,5.931506849,AA-,PETRO
3394,3,16,MINT205A,MINT,2019-01-09,1.3643835619999998,A,FOOD
3546,1,24,SCC20NA,SCC,2019-01-09,1.810958904,A+,CONMAT
3689,2,38,SPCG23DA,SPCG,2019-01-09,4.934246575,A,ENERG
3832,1,45,THAI198A,THAI,2019-01-09,0.597260274,A,TRANS
3975,1,50,THAI229A,THAI,2019-01-09,3.723287671,A,TRANS
4213,3,15,THANI20NB,THANI,2019-01-09,1.852054795,A-,FIN
4400,0,2,TU21OA,TU,2019-01-09,2.7479452060000003,A+,FOOD
4554,1,55,WHA197C,WHA,2019-01-09,0.550684932,A-,PROP
4703,1,26,AH20OA,AH,2019-01-09,1.739726027,BBB+,AUTO
4988,0,11,BJC199A,BJC,2019-01-09,0.6575342470000001,A+,COMM
5136,0,11,BJC223A,BJC,2019-01-09,3.2027397260000003,A+,COMM
5345,0,52,CPF235A,CPF,2019-01-09,4.339726027,A+,FOOD
5570,2,72,JMART19NB,JMART,2019-01-09,0.854794521,BBB,ICT
5708,2,36,KTC259A,KTC,2019-01-09,6.687671233,A+,FIN
5859,2,36,KTC26NA,KTC,2019-01-09,7.884931507,A+,FIN
6087,2,93,PF214B,PF,2019-01-09,2.295890411,BB+,PROP
6238,2,13,PTTC222A,PTTC,2019-01-09,3.1287671230000003,AAA,ENERG
6376,2,37,QH20NA,QH,2019-01-09,1.865753425,A-,PROP
6530,2,30,SC209A,SC,2019-01-09,1.7095890409999999,BBB+,PROP
6678,3,90,SPALI209A,SPALI,2019-01-09,1.652054795,A,PROP
6819,3,78,TCAP20NA,TCAP,2019-01-09,1.849315069,A+,BANK
6975,1,0,THCOM19OB,THCOM,2019-01-09,0.7260273970000001,A-,ICT
7116,1,55,WHA20OA,WHA,2019-01-09,1.775342466,A-,PROP
7264,1,5,WHA23OA,WHA,2019-01-09,4.775342466000001,A-,PROP
8135,3,31,ASK208A,ASK,2019-01-09,1.583561644,BBB+,FIN
